PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,PV1MATH_target
286.982,368.134,384.751,344.497,384.372,376.483,413.727,392.001,332.49,356.962,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
368.567,378.781,320.952,346.817,333.05,242.607,331.658,391.823,326.012,284.057,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
348.836,361.301,298.966,364.967,307.146,358.765,343.769,311.395,282.939,377.813,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
311.196,335.477,347.356,373.777,318.757,300.488,320.917,318.57,331.921,346.327,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
401.17,416.941,380.272,355.456,335.372,356.513,380.07,395.107,444.988,379.883,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
244.803,305.992,256.714,223.333,323.167,288.032,320.497,298.792,323.449,230.15,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
305.495,343.137,304.532,334.035,328.425,386.261,322.965,313.367,326.742,352.915,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
342.795,333.663,348.544,371.476,341.031,387.524,355.42,369.031,299.252,312.207,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
326.029,395.36,290.246,270.983,322.483,355.405,323.895,337.529,351.663,329.273,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
325.363,359.03,329.312,376.632,285.036,282.413,312.989,355.863,256.195,304.764,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
603.198,607.78,500.604,532.769,518.268,608.432,598.149,541.913,515.171,533.506,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
467.398,441.022,490.272,485.355,478.363,480.292,476.681,457.695,512.422,433.551,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
385.857,424.795,344.94,386.235,380.779,426.336,426.105,400.891,388.906,380.237,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
392.9,396.627,419.309,372.69,357.325,393.022,359.102,343.797,350.04,383.236,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
456.465,447.68,417.114,438.431,482.202,477.28,455.609,470.031,443.478,382.661,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250.356,359.783,302.5,254.365,266.406,279.275,358.616,269.35,306.492,289.669,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
366.631,334.35,369.277,405.048,384.524,366.869,354.177,378.932,344.085,344.076,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
247.868,277.214,285.787,301.044,255.064,246.862,291.783,246.618,266.013,304.579,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
311.778,370.635,330.586,346.645,354.026,357.082,352.843,322.855,291.268,349.627,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
328.082,276.2,296.62,297.925,277.325,307.274,307.478,362.028,309.111,342.39,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
358.676,347.978,395.032,342.963,321.898,323.409,322.812,392.689,319.567,347.372,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
304.741,384.325,295.897,317.735,308.418,270.21,283.774,319.891,255.711,303.925,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
458.961,476.416,489.102,472.01,531.75,466.3,499.692,470.421,501.671,462.797,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
548.842,513.227,511.833,512.784,468.569,459.928,520.722,519.577,495.415,519.969,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
450.643,481.252,414.931,435.272,418.475,466.599,428.888,455.878,433.166,439.869,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
334.132,351.854,322.905,348.71,312.093,323.79,303.467,329.761,366.27,383.238,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
493.573,499.403,504.126,481.326,480.585,468.294,496.639,502.075,501.423,543.923,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
384.113,312.217,357.593,382.718,386.138,381.11,417.577,382.038,352.932,366.909,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
378.186,352.923,398.975,356.441,343.213,365.2,305.632,340.08,313.936,318.348,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
